entity	typeentity	diffentropy
http://reegle.info/countries/MY	null	1.0986122886681096	
http://reegle.info/countries/TL	null	1.0986122886681096	
http://reegle.info/countries/TH	null	1.0986122886681096	
http://reegle.info/countries/VN	null	1.0986122886681096	
http://reegle.info/countries/KI	null	1.0986122886681096	
http://reegle.info/countries/AO	null	1.0986122886681096	
http://reegle.info/countries/WS	null	1.0986122886681096	
http://reegle.info/countries/PG	null	1.0986122886681096	
http://reegle.info/countries/SV	null	1.0986122886681096	
http://reegle.info/countries/NR	null	1.0986122886681096	
http://reegle.info/countries/LC	null	1.0397207708399179	
http://reegle.info/countries/PW	null	1.0986122886681096	
http://reegle.info/countries/PH	null	1.0986122886681096	
http://reegle.info/countries/MQ	null	1.0986122886681096	
http://reegle.info/countries/BS	null	1.0397207708399179	
http://reegle.info/countries/NA	null	1.0986122886681096	
http://reegle.info/countries/IN	null	1.0986122886681096	
http://reegle.info/countries/SG	null	1.0986122886681096	
http://reegle.info/countries/FM	null	1.0986122886681096	
http://reegle.info/countries/TC	null	1.0397207708399179	
http://reegle.info/countries/MZ	null	1.0986122886681096	
http://reegle.info/countries/AT	null	1.0986122886681096	
http://reegle.info/countries/FJ	null	1.0986122886681096	
http://reegle.info/countries/US	null	0.8675632284814612	
http://reegle.info/countries/GD	null	1.0986122886681096	
http://reegle.info/countries/GP	null	1.0986122886681096	
http://reegle.info/countries/AR	null	1.0986122886681096	
http://reegle.info/countries/BR	null	1.0397207708399179	
http://reegle.info/countries/PR	null	1.0986122886681096	
http://reegle.info/countries/GP	null	1.0986122886681096	
http://reegle.info/countries/PR	null	1.0986122886681096	
http://reegle.info/countries/FM	null	1.0986122886681096	
http://reegle.info/countries/PG	null	1.0986122886681096	
http://reegle.info/countries/LC	null	1.0397207708399179	
http://reegle.info/countries/SV	null	1.0986122886681096	
http://reegle.info/countries/MQ	null	1.0986122886681096	
http://reegle.info/countries/PW	null	1.0986122886681096	
http://reegle.info/countries/AR	null	1.0986122886681096	
http://reegle.info/countries/SG	null	1.0986122886681096	
http://reegle.info/countries/TC	null	1.0397207708399179	
http://reegle.info/countries/FJ	null	1.0986122886681096	
http://reegle.info/countries/BR	null	1.0397207708399179	
http://reegle.info/countries/AT	null	1.0986122886681096	
http://reegle.info/countries/GD	null	1.0986122886681096	
